"id","name","latitude","longitude","population"
"363d1185-f0d5-4f6c-91c5-c4e86a062720","Нью-Браунфелс","29.697811","-98.126321","45840"
"b7045d81-26f9-4add-9914-eb47531d1285","Клиберн","32.351525","-97.39249","35545"
"7f26cf88-14c3-4a3c-8083-0285df6c147d","Браунвуд","31.707895","-98.982315","20988"
"66ec0d6f-489d-433d-ba02-2ea3cb57736c","Алпайн","30.360717","-103.665001","6587"
"5d1afe59-b4ef-421c-9d7a-be6de79bae0d","Ван-Хорн","31.042484","-104.832242","2175"
"ae65fe8b-b6f2-44cd-b969-bf1ac0bbef5c","Биг-Спринг","32.243186","-101.475186","24122"
"118e1271-e405-4ba5-8ce0-8857d97356d3","Вернон","34.151054","-99.290384","11660"
"0085cff1-e366-4e2e-92ae-786f5277b370","Чилдресс","34.424887","-100.21392","6557"
"9fa56125-a994-4eeb-80e9-c3e807dff18c","Херфорд","34.821917","-102.398592","15675"
"92115aa3-a9d9-4557-8813-41dc5de1ea13","Далхарт","36.060808","-102.518611","7088"
"9ab436bd-7973-4b1e-a573-fea365d64d02","Тексас-Сити","29.410878","-94.962767","69914"
"25642bde-e24e-405d-89ed-4b39339da104","Пасадина","29.660863","-95.147743","628492"
"825fcf24-1349-4366-a7e8-89a4e837c872","Бейтаун","29.755844","-94.967728","86034"
"6fbb7c47-1d15-4660-bddc-d847f4279045","Арлингтон","32.684761","-97.020239","724777"
"254a56db-13ba-4108-91fe-3fa453d91932","Гуасдуалито","7.239983","-70.739982","30860"
"ab1bed29-e2fb-4093-8e6d-d6537d14933d","Баринас","8.599978","-70.250012","284289"
"76981875-c1aa-4637-a839-f8e8158c3818","Валера","9.31996","-70.620015","191167"
"73070b28-850b-4c8d-8904-c259c9f21d04","Кабимас","10.429995","-71.449991","441094"
"6ee151c5-a455-4f8a-989c-0ded64f2bf8a","Карора","10.189984","-70.079997","149711"
"d15d20db-ac31-4d7d-918a-14fe3c7304f4","Гуанаре","9.049976","-69.750017","151642"
"a4f6eda4-8fe0-4812-92aa-89e4a6d3bba5","Нью-Лондон","41.355524","-72.100028","96178"
"50f126d2-21da-4bb7-996f-f3c34b13796a","Стамфорд","41.053346","-73.539191","746920"
"516e1fd8-17c9-42ba-a39e-581a1f2316c4","Уотербери","41.550008","-73.050022","174236"
"e88dbf0a-d9d9-4de9-bd63-83e21fc9b7e9","Нью-Бедфорд","41.656125","-70.944698","136082"
"ec0dc517-c2c7-4a1a-80ed-05b22a274714","Спрингфилд","42.120025","-72.579999","421780"
"c28a241d-cbc4-49a7-a20c-77eded280f35","Сейлем","42.522499","-70.883092","335509"
"712f48db-3900-4c5a-9cfe-30a6c41ff198","Питсфилд","42.448196","-73.259828","46230"
"6e039b1d-f4c2-4eb3-ad26-1690a5e4bef9","Монтпилиер","44.259972","-72.575813","8538"
"0ff3dfbf-14b3-47df-8d46-8ebde8c7cc7e","Оберн","32.609701","-85.48084","73929"
"789c4166-415f-4559-b44c-757c0f136564","Флоренс","34.799696","-87.677243","45349"
"fadb9683-162d-4c84-966b-a1cca28f55a8","Уинтер-Хейвен","28.021919","-81.733006","108932"
